time,linear_x,linear_y,angular_z,cov_linear_x,cov_linear_y,cov_angular_z
1627660346179530000,0,0,0,0,0,0
1627660346193150000,0,0,0,0,0,0
1627660346212260000,0,0,0,0,0,0
1627660346231900000,0,0,0,0,0,0
1627660346278810000,0,0,0,0,0,0
1627660346291800000,0,0,0,0,0,0
1627660346325660000,0,0,0,0,0,0
1627660346344710000,0,0,0,0,0,0
1627660346353530000,0,0,0,0,0,0
1627660346395210000,0,0,0,0,0,0
1627660346395240000,0,0,0,0,0,0
1627660346439280000,0,0,0,0,0,0
1627660346439290000,0,0,0,0,0,0
1627660346483190000,0,0,0,0,0,0
1627660346483210000,0,0,0,0,0,0
1627660346527260000,0,0,0,0,0,0
1627660346527280000,0,0,0,0,0,0
1627660346571210000,0,0,0,0,0,0
1627660346571220000,0,0,0,0,0,0
1627660346615240000,0,0,0,0,0,0
1627660346615260000,0,0,0,0,0,0
1627660346615270000,0,0,0,0,0,0
1627660346659200000,0,0,0,0,0,0
1627660346659220000,0,0,0,0,0,0
1627660346671990000,0,0,0,0,0,0
1627660346691960000,0,0,0,0,0,0
1627660346735200000,0,0,0,0,0,0
1627660346735220000,0,0,0,0,0,0
1627660346785380000,0,0,0,0,0,0
1627660346785400000,0,0,0,0,0,0
1627660346827190000,0,0,0,0,0,0
1627660346827210000,0,0,0,0,0,0
1627660346871210000,0,0,0,0,0,0
1627660346871220000,0,0,0,0,0,0
1627660346919170000,0,0,0,0,0,0
1627660346919180000,0,0,0,0,0,0
1627660346919190000,0,0,0,0,0,0
1627660346963190000,0,0,0,0,0,0
1627660346963200000,0,0,0,0,0,0
1627660346971300000,0,0,0,0,0,0
1627660346991590000,0,0,0,0,0,0
1627660347039260000,0,0,0,0,0,0
1627660347039270000,0,0,0,0,0,0
1627660347087190000,0,0,0,0,0,0
1627660347087200000,0,0,0,0,0,0
1627660347131200000,0,0,0,0,0,0
1627660347131220000,0,0,0,0,0,0
1627660347175270000,0,0,0,0,0,0
1627660347175290000,0,0,0,0,0,0
1627660347175310000,0,0,0,0,0,0
1627660347219200000,0,0,0,0,0,0
1627660347219220000,0,0,0,0,0,0
1627660347231600000,0,0,0,0,0,0
1627660347251580000,0,0,0,0,0,0
1627660347295230000,0,0,0,0,0,0
1627660347295250000,0,0,0,0,0,0
